19
0	0	16	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	60	
0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	
0	16	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	24	28	0	0	24	0	0	24	0	0	0	0	0	
24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	24	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	32	0	0	20	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	32	0	28	32	0	0	0	0	0	0	0	
0	0	0	0	24	0	0	0	0	28	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	24	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	24	
0	0	24	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	
